trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,
1,2819184,2,12.5,9.5,1720,16192,-1880,,,,,
1,2821184,2,12.5,9.5,1728,16192,-1716,,,,,
1,2824184,2,12.5,9.5,1500,16124,-1824,,,,,
1,2826184,2,12.5,9.5,1984,16292,-1528,,,,,
1,2829184,2,12.5,9.5,2044,16244,-1580,,,,,
1,2831184,2,12.5,9.5,1368,16236,-1792,,,,,
1,2834184,2,12.5,9.5,1672,16228,-1640,,,,,
1,2836184,2,12.5,9.5,1856,16244,-1724,,,,,
1,2839184,2,12.5,9.5,1404,16152,-1732,,,,,
1,2841184,2,12.5,9.5,1792,16244,-1648,,,,,
1,2844183,2,12.5,9.5,1788,16260,-1640,,,,,
1,2846184,2,12.5,9.5,1476,16252,-1632,,,,,
1,2849184,2,12.5,9.5,1444,16244,-1644,,,,,
1,2851184,2,12.5,9.5,1668,16304,-1700,,,,,
1,2854184,2,12.5,9.5,1636,16272,-1788,,,,,
1,2856183,2,12.5,9.5,1636,16148,-1668,,,,,
1,2859184,2,12.5,9.5,1304,16164,-1840,,,,,
1,2861184,2,12.5,9.5,2040,16304,-1768,,,,,
1,2864184,2,12.5,9.5,1796,16172,-1676,,,,,
1,2866184,2,12.5,9.5,1760,16232,-1696,,,,,
1,2869184,2,12.5,9.5,1900,16176,-1764,,,,,
1,2871184,2,12.5,9.5,1652,16204,-1764,,,,,
1,2874184,2,12.5,9.5,1792,16308,-1700,,,,,
1,2876184,2,12.5,9.5,1712,16328,-1536,,,,,
1,2879184,2,12.5,9.5,1836,16212,-1668,,,,,
1,2881184,2,12.5,9.5,1604,16308,-1668,,,,,
1,2884184,2,12.5,9.5,1832,16336,-1664,,,,,
1,2886184,2,12.5,9.5,1616,16272,-1656,,,,,
1,2889184,2,12.5,9.5,1760,16292,-1540,,,,,
1,2891184,2,12.5,9.5,1620,16312,-1652,,,,,
1,2894184,2,12.5,9.5,1864,16212,-1628,,,,,
1,2896184,2,12.5,9.5,1516,16112,-1612,,,,,
1,2899184,2,12.5,9.5,1856,16180,-1652,,,,,
1,2901184,2,12.5,9.5,1444,16236,-1788,,,,,
1,2904184,2,12.5,9.5,1868,16204,-1612,,,,,
1,2906184,2,12.5,9.5,1532,16072,-1952,,,,,
1,2909184,2,12.5,9.5,1720,16200,-1788,,,,,
1,2911184,2,12.5,9.5,1352,16004,-1768,,,,,
1,2914184,2,12.5,9.5,1488,16240,-1748,,,,,
1,2916184,2,12.5,9.5,1816,16196,-1724,,,,,
1,2919184,2,12.5,9.5,1304,16160,-1648,,,,,
1,2921184,2,12.5,9.5,1336,16260,-1648,,,,,
1,2924184,2,12.5,9.5,1584,16332,-1672,,,,,
1,2926184,2,12.5,9.5,1652,16292,-1644,,,,,
1,2929184,2,12.5,9.5,1552,16308,-1792,,,,,
1,2931184,2,12.5,9.5,1768,16212,-1524,,,,,
1,2934184,2,12.5,9.5,1832,16172,-1616,,,,,
1,2936184,2,12.5,9.5,1884,16320,-1600,,,,,
1,2939184,2,12.5,9.5,1604,16224,-1472,,,,,
1,2941184,2,12.5,9.5,1916,16112,-1796,,,,,
1,2944184,2,12.5,9.5,1828,16024,-1656,,,,,
1,2946184,2,12.5,9.5,1576,16132,-1828,,,,,
1,2949184,2,12.5,9.5,1864,16132,-1876,,,,,
1,2951184,2,12.5,9.5,1464,16076,-1776,,,,,
1,2954184,2,12.5,9.5,1628,16212,-1808,,,,,
1,2956184,2,12.5,9.5,1568,16140,-1704,,,,,
1,2959184,2,12.5,9.5,1688,16228,-1560,,,,,
1,2961184,2,12.5,9.5,1488,16328,-1612,,,,,
1,2964184,2,12.5,9.5,1832,16316,-1676,,,,,
1,2966183,2,12.5,9.5,1636,16312,-1772,,,,,
1,2969184,2,12.5,9.5,1764,16180,-1720,,,,,
1,2971184,2,12.5,9.5,1796,16272,-1812,,,,,
1,2974184,2,12.5,9.5,2164,16168,-1576,,,,,
1,2976184,2,12.5,9.5,1392,16156,-1716,,,,,
1,2979183,2,12.5,9.5,1672,16120,-1868,,,,,
1,2981184,2,12.5,9.5,1676,16168,-1764,,,,,
1,2984184,2,12.5,9.5,1468,16160,-1820,,,,,
1,2986183,2,12.5,9.5,2036,16220,-1652,,,,,
1,2989184,2,12.5,9.5,1600,16236,-1700,,,,,
1,2991184,2,12.5,9.5,1636,16396,-1716,,,,,
1,2994184,2,12.5,9.5,1908,16276,-1516,,,,,
1,2996183,2,12.5,9.5,1420,16252,-1724,,,,,
1,2999184,2,12.5,9.5,1568,16296,-1648,,,,,
1,3001184,2,12.5,9.5,1748,16328,-1620,,,,,
1,3004184,2,12.5,9.5,1676,16232,-1664,,,,,
1,3006183,2,12.5,9.5,1932,16260,-1616,,,,,
1,3009184,2,12.5,9.5,1204,16112,-1840,,,,,
1,3011184,2,12.5,9.5,2072,16220,-1576,,,,,
1,3014184,2,12.5,9.5,1712,16104,-1808,,,,,
1,3016184,2,12.5,9.5,1860,16096,-1824,,,,,
1,3019184,2,12.5,9.5,1736,16224,-1800,,,,,
1,3021184,2,12.5,9.5,1588,16036,-1768,,,,,
1,3024184,2,12.5,9.5,1860,16220,-1612,,,,,
1,3026184,2,12.5,9.5,1344,16120,-1776,,,,,
1,3029184,2,12.5,9.5,1344,16228,-1724,,,,,
1,3031184,2,12.5,9.5,1980,16296,-1608,,,,,
1,3034184,2,12.5,9.5,1672,16336,-1660,,,,,
1,3036184,2,12.5,9.5,1852,16392,-1544,,,,,
1,3039184,2,12.5,9.5,1772,16240,-1436,,,,,
1,3041184,2,12.5,9.5,1408,16208,-1648,,,,,
1,3044184,2,12.5,9.5,1972,16380,-1796,,,,,
1,3046184,2,12.5,9.5,1556,16112,-1684,,,,,
1,3049184,2,12.5,9.5,1400,16016,-1936,,,,,
1,3051184,2,12.5,9.5,1884,16152,-1796,,,,,
1,3054184,2,12.5,9.5,1728,16164,-1784,,,,,
1,3056184,2,12.5,9.5,1668,16064,-1856,,,,,
1,3059184,2,12.5,9.5,1560,16032,-1728,,,,,
1,3061184,2,12.5,9.5,1608,16120,-1760,,,,,
1,3064184,2,12.5,9.5,1820,16280,-1740,,,,,
1,3066184,2,12.5,9.5,1520,16168,-1684,,,,,
1,3069184,2,12.5,9.5,1528,16284,-1636,,,,,
1,3071184,2,12.5,9.5,1648,16280,-1572,,,,,
1,3074184,2,12.5,9.5,1464,16336,-1460,,,,,
