trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,,,
1,983202,1,17.789,4.500,1572,16708,-4908,,,,,,,
1,985196,1,17.761,4.500,1128,16380,-4744,,,,,,,
1,988198,1,17.719,4.500,2112,18040,-5092,,,,,,,
1,990199,1,17.692,4.500,232,15556,-2876,,,,,,,
1,993200,1,17.654,4.500,-224,17116,-4088,,,,,,,
1,995200,1,17.629,4.500,-1108,17612,-4500,,,,,,,
1,998197,1,17.594,4.500,1152,15048,-1496,,,,,,,
1,1000203,1,17.572,4.500,2272,15824,-3364,,,,,,,
1,1003199,1,17.540,4.500,2808,17356,-5840,,,,,,,
1,1005199,1,17.520,4.500,2240,16260,-5160,,,,,,,
1,1008199,1,17.492,4.500,3104,16028,-5764,,,,,,,
1,1010201,1,17.474,4.500,3904,15636,-5904,,,,,,,
1,1013204,1,17.448,4.500,2644,14556,-4512,,,,,,,
1,1015198,1,17.432,4.500,-268,14480,-5676,,,,,,,
1,1018200,1,17.409,4.500,496,15708,-6104,,,,,,,
1,1020199,1,17.394,4.500,544,16096,-5704,,,,,,,
1,1023204,1,17.373,4.500,-96,16020,-4968,,,,,,,
1,1025198,1,17.360,4.500,-56,17872,-6132,,,,,,,
1,1028201,1,17.342,4.500,1456,16816,-4272,,,,,,,
1,1030198,1,17.330,4.500,1980,16964,-4212,,,,,,,
1,1033201,1,17.314,4.500,2424,17352,-4536,,,,,,,
1,1035198,1,17.304,4.500,3336,17512,-4312,,,,,,,
1,1038198,1,17.291,4.500,3440,16744,-3880,,,,,,,
1,1040198,1,17.282,4.500,2860,16440,-4728,,,,,,,
1,1043201,1,17.271,4.500,2292,16240,-4848,,,,,,,
1,1045198,1,17.264,4.500,1572,15576,-4364,,,,,,,
1,1048198,1,17.255,4.500,2560,15532,-4236,,,,,,,
1,1050202,1,17.250,4.500,1552,15676,-4448,,,,,,,
1,1053199,1,17.243,4.500,1424,15944,-4292,,,,,,,
1,1055199,1,17.239,4.500,1096,16144,-4548,,,,,,,
1,1058200,1,17.234,4.500,1704,16756,-4296,,,,,,,
1,1060200,1,17.230,4.500,1024,16240,-3044,,,,,,,
1,1063201,1,17.225,4.500,1700,16284,-2232,,,,,,,
1,1065202,1,17.222,4.500,404,16336,-2384,,,,,,,
1,1068198,1,17.218,4.500,1540,16192,-1304,,,,,,,
1,1070199,1,17.215,4.500,1372,16308,-1304,,,,,,,
1,1073201,1,17.212,4.500,2304,16272,-1652,,,,,,,
1,1075200,1,17.210,4.500,848,16444,-2000,,,,,,,
1,1078198,1,17.207,4.500,3116,16296,-1116,,,,,,,
1,1080199,1,17.206,4.500,2452,16060,-2112,,,,,,,
1,1083200,1,17.204,4.500,3184,15104,-668,,,,,,,
1,1085201,1,17.202,4.500,432,16116,-2824,,,,,,,
